	name	type	units	description	sampling_frequency	status	status_description
0	A1	EEG	V	ElectroEncephaloGram	512.0	good	n/a
1	A2	EEG	V	ElectroEncephaloGram	512.0	good	n/a
2	A3	EEG	V	ElectroEncephaloGram	512.0	good	n/a
3	A4	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
4	A5	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
5	A6	EEG	V	ElectroEncephaloGram	512.0	good	n/a
6	A7	EEG	V	ElectroEncephaloGram	512.0	good	n/a
7	A8	EEG	V	ElectroEncephaloGram	512.0	good	n/a
8	A9	EEG	V	ElectroEncephaloGram	512.0	good	n/a
9	A10	EEG	V	ElectroEncephaloGram	512.0	good	n/a
10	A11	EEG	V	ElectroEncephaloGram	512.0	good	n/a
11	A12	EEG	V	ElectroEncephaloGram	512.0	good	n/a
12	A13	EEG	V	ElectroEncephaloGram	512.0	good	n/a
13	A14	EEG	V	ElectroEncephaloGram	512.0	good	n/a
14	A15	EEG	V	ElectroEncephaloGram	512.0	good	n/a
15	A16	EEG	V	ElectroEncephaloGram	512.0	good	n/a
16	A17	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
17	A18	EEG	V	ElectroEncephaloGram	512.0	good	n/a
18	A19	EEG	V	ElectroEncephaloGram	512.0	good	n/a
19	A20	EEG	V	ElectroEncephaloGram	512.0	good	n/a
20	A21	EEG	V	ElectroEncephaloGram	512.0	good	n/a
21	A22	EEG	V	ElectroEncephaloGram	512.0	good	n/a
22	A23	EEG	V	ElectroEncephaloGram	512.0	good	n/a
23	A24	EEG	V	ElectroEncephaloGram	512.0	good	n/a
24	A25	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
25	A26	EEG	V	ElectroEncephaloGram	512.0	good	n/a
26	A27	EEG	V	ElectroEncephaloGram	512.0	good	n/a
27	A28	EEG	V	ElectroEncephaloGram	512.0	good	n/a
28	A29	EEG	V	ElectroEncephaloGram	512.0	good	n/a
29	A30	EEG	V	ElectroEncephaloGram	512.0	good	n/a
30	A31	EEG	V	ElectroEncephaloGram	512.0	good	n/a
31	A32	EEG	V	ElectroEncephaloGram	512.0	good	n/a
32	B1	EEG	V	ElectroEncephaloGram	512.0	good	n/a
33	B2	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
34	B3	EEG	V	ElectroEncephaloGram	512.0	good	n/a
35	B4	EEG	V	ElectroEncephaloGram	512.0	good	n/a
36	B5	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
37	B6	EEG	V	ElectroEncephaloGram	512.0	good	n/a
38	B7	EEG	V	ElectroEncephaloGram	512.0	good	n/a
39	B8	EEG	V	ElectroEncephaloGram	512.0	good	n/a
40	B9	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
41	B10	EEG	V	ElectroEncephaloGram	512.0	good	n/a
42	B11	EEG	V	ElectroEncephaloGram	512.0	good	n/a
43	B12	EEG	V	ElectroEncephaloGram	512.0	good	n/a
