	name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
0	A1	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
1	A2	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
2	A3	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
3	A4	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
4	A5	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
5	A6	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	bad	
6	A7	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	bad	
7	A8	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	bad	
8	A9	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
9	A10	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
10	A11	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
11	A12	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
12	A13	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	bad	
13	A14	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	bad	
14	A15	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
15	A16	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
16	A17	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
17	A18	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
18	A19	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
19	A20	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
20	A21	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
21	A22	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
22	A23	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
23	A24	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
24	A25	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
25	A26	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
26	A27	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
27	A28	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
28	A29	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
29	A30	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
30	A31	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
31	A32	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
32	B1	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
33	B2	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
34	B3	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
35	B4	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
36	B5	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
37	B6	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
38	B7	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
39	B8	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
40	B9	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
41	B10	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
42	B11	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
43	B12	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
44	B13	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
45	B14	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
46	B15	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
47	B16	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
48	B17	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
49	B18	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
50	B19	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
51	B20	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
52	B21	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
